scale,traffic,algorithm,seed,stops,nodes,edges,iterations,best_cost_s,distance_m,vehicles_used,feasible,elapsed_s,improvement_events,first_cost_s
small,free-flow,qpso,0,12,49,168,28,537.8399999999999,5130.0,2,True,0.1125599649999458,29,686.8799999999999
small,free-flow,qpso,1,12,49,168,28,602.6399999999999,5670.0,2,True,0.09247664899976371,29,751.6800000000001
small,free-flow,qgpso,0,12,49,168,28,602.6399999999999,5670.0,2,True,0.07948176199988666,29,686.8799999999999
small,free-flow,qgpso,1,12,49,168,28,550.8,5130.0,2,True,0.07993012699989777,29,751.6800000000001
small,free-flow,pso,0,12,49,168,28,654.48,6210.0,2,True,0.07868604800023604,29,686.8799999999999
small,free-flow,pso,1,12,49,168,28,570.24,5400.0,2,True,0.07420874199988248,29,751.6800000000001
small,free-flow,ga,0,12,49,168,28,570.2399999999999,5400.0,2,True,0.0975919059997068,29,686.8799999999999
small,free-flow,ga,1,12,49,168,28,602.6399999999999,5670.0,3,True,0.12345070299988947,29,751.6800000000001
small,free-flow,aco,0,12,49,168,28,453.5999999999999,4320.0,2,True,0.16364963099977103,29,686.8799999999999
small,free-flow,aco,1,12,49,168,28,453.5999999999999,4320.0,2,True,0.1556984150001881,29,751.6800000000001
small,rush-hour,qpso,0,12,49,168,28,1096.416,5940.0,2,True,0.10388206800007538,29,1216.2959999999998
small,rush-hour,qpso,1,12,49,168,28,920.1599999999999,4860.0,2,True,0.08957481000015832,29,1336.176
small,rush-hour,qgpso,0,12,49,168,28,1068.228,5670.0,2,True,0.0964363019998018,29,1216.2959999999998
small,rush-hour,qgpso,1,12,49,168,28,980.0999999999999,5130.0,2,True,0.10693918300012228,29,1336.176
small,rush-hour,pso,0,12,49,168,28,1156.3559999999998,6210.0,2,True,0.08264489799967123,29,1216.2959999999998
small,rush-hour,pso,1,12,49,168,28,888.4079999999999,4860.0,2,True,0.09103404300003604,29,1336.176
small,rush-hour,ga,0,12,49,168,28,1156.3559999999998,6210.0,2,True,0.09044025699995473,29,1216.2959999999998
small,rush-hour,ga,1,12,49,168,28,1008.2879999999999,5400.0,2,True,0.09072485600017899,29,1336.176
small,rush-hour,aco,0,12,49,168,28,800.28,4320.0,2,True,0.30693058299993936,29,1216.2959999999998
small,rush-hour,aco,1,12,49,168,28,800.2799999999999,4320.0,2,True,0.14786787399998502,29,1336.176
medium,free-flow,qpso,0,20,81,288,32,1270.08,11880.0,4,True,0.144386213999951,33,1470.96
medium,free-flow,qpso,1,20,81,288,32,1250.6399999999999,11610.0,4,True,0.15941968200013434,33,1581.12
medium,free-flow,qgpso,0,20,81,288,32,1179.36,10800.0,4,True,0.17737957400004234,33,1470.96
medium,free-flow,qgpso,1,20,81,288,32,1108.08,10530.0,4,True,0.14861264599994684,33,1581.12
medium,free-flow,pso,0,20,81,288,32,1192.32,11340.0,4,True,0.18611428999975033,33,1470.96
medium,free-flow,pso,1,20,81,288,32,978.4799999999999,8910.0,4,True,0.18437687400000868,33,1581.12
medium,free-flow,ga,0,20,81,288,32,1101.6,10260.0,4,True,0.18863635799971235,33,1470.96
medium,free-flow,ga,1,20,81,288,32,1166.3999999999999,10800.0,4,True,0.1727155479998146,33,1581.12
medium,free-flow,aco,0,20,81,288,32,868.3199999999999,8100.0,4,True,0.2801152130000446,33,1470.96
medium,free-flow,aco,1,20,81,288,32,900.7199999999999,8370.0,4,True,0.3730247880002935,33,1581.12
medium,rush-hour,qpso,0,20,81,288,32,2140.02,11070.0,4,True,0.14995201700003236,33,2612.412
medium,rush-hour,qpso,1,20,81,288,32,2051.892,10530.0,4,True,0.17940929399992456,33,2284.524
medium,rush-hour,qgpso,0,20,81,288,32,2168.2079999999996,11340.0,4,True,0.1587548039997273,33,2612.412
medium,rush-hour,qgpso,1,20,81,288,32,1780.3799999999999,9450.0,4,True,0.16171018700015338,33,2284.524
medium,rush-hour,pso,0,20,81,288,32,2048.328,10800.0,4,True,0.1989967509998678,33,2612.412
medium,rush-hour,pso,1,20,81,288,32,1780.3799999999997,9450.0,4,True,0.2614478160003273,33,2284.524
medium,rush-hour,ga,0,20,81,288,32,2256.336,11880.0,4,True,0.1813783190000322,33,2612.412
medium,rush-hour,ga,1,20,81,288,32,1988.388,10530.0,4,True,0.18287877400007346,33,2284.524
medium,rush-hour,aco,0,20,81,288,32,1572.3719999999998,8370.0,3,True,0.2788172000000486,33,2612.412
medium,rush-hour,aco,1,20,81,288,32,1604.1239999999998,8370.0,3,True,0.29371336099984546,33,2284.524
large,free-flow,qpso,0,28,121,440,36,1710.7199999999998,16200.0,6,True,0.26417490299991186,37,2177.2799999999997
large,free-flow,qpso,1,28,121,440,36,1866.24,17280.0,6,True,0.28498640399993747,37,2280.96
large,free-flow,qgpso,0,28,121,440,36,1723.6799999999998,16200.0,6,True,0.348230059999878,37,2177.2799999999997
large,free-flow,qgpso,1,28,121,440,36,1658.8799999999999,15660.0,6,True,0.28781089400035853,37,2280.96
large,free-flow,pso,0,28,121,440,36,1794.9599999999998,17010.0,6,True,0.2737359910001942,37,2177.2799999999997
large,free-flow,pso,1,28,121,440,36,1879.1999999999998,17820.0,6,True,0.27776113500021893,37,2280.96
large,free-flow,ga,0,28,121,440,36,1587.6,14850.0,5,True,0.27799396499995055,37,2177.2799999999997
large,free-flow,ga,1,28,121,440,36,1490.3999999999999,14040.0,6,True,0.26563633700016,37,2280.96
large,free-flow,aco,0,28,121,440,36,1211.76,11610.0,5,True,0.4715174390003085,37,2177.2799999999997
large,free-flow,aco,1,28,121,440,36,1192.32,11340.0,5,True,0.4685646660000202,37,2280.96
large,rush-hour,qpso,0,28,121,440,36,3084.804,16470.0,6,True,0.2485745339999994,37,3588.948
large,rush-hour,qpso,1,28,121,440,36,3144.7439999999997,16740.0,6,True,0.26231659699988086,37,3737.0159999999996
large,rush-hour,qgpso,0,28,121,440,36,3356.316,17550.0,6,True,0.26892581900028745,37,3588.948
large,rush-hour,qgpso,1,28,121,440,36,3180.0599999999995,16470.0,6,True,0.25088960699986274,37,3737.0159999999996
large,rush-hour,pso,0,28,121,440,36,3292.812,17550.0,6,True,0.25631801000008636,37,3588.948
large,rush-hour,pso,1,28,121,440,36,3112.9919999999997,16740.0,6,True,0.28908735000004526,37,3737.0159999999996
large,rush-hour,ga,0,28,121,440,36,3144.7439999999997,16740.0,6,True,0.31450485000004846,37,3588.948
large,rush-hour,ga,1,28,121,440,36,2904.9839999999995,15660.0,5,True,0.2661118510000051,37,3737.0159999999996
large,rush-hour,aco,0,28,121,440,36,2161.08,11880.0,5,True,0.47542130300007557,37,3588.948
large,rush-hour,aco,1,28,121,440,36,2104.7039999999997,11340.0,5,True,0.4554747399997723,37,3737.0159999999996
