scale,traffic,algorithm,runs,feasible_rate,median_cost_s,mean_cost_s,mean_elapsed_s,mean_vehicles
large,free-flow,aco,2,1.0,1202.04,1202.04,0.47004105250016437,5.0
large,free-flow,ga,2,1.0,1539.0,1539.0,0.27181515100005527,5.5
large,free-flow,pso,2,1.0,1837.08,1837.08,0.27574856300020656,6.0
large,free-flow,qgpso,2,1.0,1691.2799999999997,1691.2799999999997,0.31802047700011826,6.0
large,free-flow,qpso,2,1.0,1788.48,1788.48,0.27458065349992467,6.0
large,rush-hour,aco,2,1.0,2132.892,2132.892,0.4654480214999239,5.0
large,rush-hour,ga,2,1.0,3024.8639999999996,3024.8639999999996,0.2903083505000268,5.5
large,rush-hour,pso,2,1.0,3202.902,3202.902,0.2727026800000658,6.0
large,rush-hour,qgpso,2,1.0,3268.1879999999996,3268.1879999999996,0.2599077130000751,6.0
large,rush-hour,qpso,2,1.0,3114.774,3114.774,0.25544556549994013,6.0
medium,free-flow,aco,2,1.0,884.52,884.52,0.32657000050016904,4.0
medium,free-flow,ga,2,1.0,1134.0,1134.0,0.18067595299976347,4.0
medium,free-flow,pso,2,1.0,1085.3999999999999,1085.3999999999999,0.1852455819998795,4.0
medium,free-flow,qgpso,2,1.0,1143.7199999999998,1143.7199999999998,0.1629961099999946,4.0
medium,free-flow,qpso,2,1.0,1260.36,1260.36,0.15190294800004267,4.0
medium,rush-hour,aco,2,1.0,1588.2479999999998,1588.2479999999998,0.28626528049994704,3.0
medium,rush-hour,ga,2,1.0,2122.362,2122.362,0.18212854650005283,4.0
medium,rush-hour,pso,2,1.0,1914.3539999999998,1914.3539999999998,0.23022228350009755,4.0
medium,rush-hour,qgpso,2,1.0,1974.2939999999999,1974.2939999999999,0.16023249549994034,4.0
medium,rush-hour,qpso,2,1.0,2095.956,2095.956,0.16468065549997846,4.0
small,free-flow,aco,2,1.0,453.5999999999999,453.5999999999999,0.15967402299997957,2.0
small,free-flow,ga,2,1.0,586.4399999999998,586.4399999999998,0.11052130449979813,2.5
small,free-flow,pso,2,1.0,612.36,612.36,0.07644739500005926,2.0
small,free-flow,qgpso,2,1.0,576.7199999999999,576.7199999999999,0.07970594449989221,2.0
small,free-flow,qpso,2,1.0,570.2399999999999,570.2399999999999,0.10251830699985476,2.0
small,rush-hour,aco,2,1.0,800.28,800.28,0.2273992284999622,2.0
small,rush-hour,ga,2,1.0,1082.322,1082.322,0.09058255650006686,2.0
small,rush-hour,pso,2,1.0,1022.3819999999998,1022.3819999999998,0.08683947049985363,2.0
small,rush-hour,qgpso,2,1.0,1024.164,1024.164,0.10168774249996204,2.0
small,rush-hour,qpso,2,1.0,1008.2879999999999,1008.2879999999999,0.09672843900011685,2.0
